rainfall_mm,sowing_date,nitrogen_kg_ha,soc_pct,simulated_yield_kg_ha,observed_yield_kg_ha
797.7,05-Apr,59.9,1.21,5727.62,4614.21
416.6,20-Apr,152.1,1.34,4472.19,3527.19
362.6,05-Apr,117.1,1.99,2158.63,1560.57
559.0,10-Mar,95.8,1.24,6782.64,5709.72
841.8,20-Apr,25.0,1.04,4586.23,3725.05
418.0,10-Mar,25.0,1.58,3490.84,3093.55
663.1,20-Apr,9.3,2.11,3752.46,2969.09
714.1,20-Apr,138.6,1.77,6584.52,5159.1
415.5,20-Mar,96.2,1.6,5040.85,4485.95
695.1,10-Mar,113.3,0.94,7393.06,5750.6
489.6,05-Apr,3.3,1.66,3228.7,2750.59
640.4,05-Apr,155.2,2.19,6637.18,5661.37
641.1,10-Mar,133.2,1.0,7647.41,6536.66
585.4,05-Apr,34.0,1.53,4789.35,4255.96
331.5,05-Apr,29.1,2.03,1369.93,1099.34
756.1,10-Mar,29.3,1.84,5449.52,4529.39
462.8,20-Apr,48.7,1.78,5178.13,4481.0
386.3,10-Mar,84.0,1.78,3264.2,2672.52
303.2,20-Apr,69.1,1.3,1694.34,1495.26
616.8,05-Apr,46.6,1.21,4982.62,4263.35
666.2,05-Apr,97.9,1.93,6221.76,4556.85
289.5,05-Apr,22.3,1.93,1166.43,1090.42
571.9,20-Mar,46.7,2.01,5841.77,4610.46
409.1,20-Apr,58.6,2.08,4595.84,3497.82
647.7,20-Mar,73.0,1.52,6719.03,5980.91
379.4,20-Mar,125.6,1.5,3397.8,2963.56
673.8,10-Mar,31.9,1.92,5636.33,5147.57
500.4,20-Mar,82.3,1.71,6112.72,5118.37
813.9,10-Mar,94.8,1.78,7204.3,5686.92
358.4,10-Mar,7.4,1.91,2139.59,1674.75
474.4,20-Mar,97.2,2.05,6593.36,5688.38
344.7,20-Apr,27.3,1.27,2045.76,1664.38
807.1,20-Apr,10.4,1.33,3873.62,2938.88
780.1,20-Apr,151.8,0.93,6563.69,4929.85
427.0,20-Apr,154.5,1.61,4797.24,3728.21
656.2,20-Apr,129.3,0.85,6370.02,4829.97
745.8,20-Mar,48.7,1.45,6037.18,4342.21
596.5,20-Mar,15.6,1.56,4575.91,4035.72
581.9,05-Apr,109.5,1.2,6188.98,5463.31
417.9,20-Apr,70.4,1.63,4194.35,3703.9
333.1,20-Mar,19.5,0.84,1664.34,1387.52
791.4,05-Apr,79.2,0.85,6085.23,4593.52
793.2,20-Apr,5.5,1.95,3667.23,2770.47
640.9,10-Mar,145.5,1.3,7497.98,6907.18
473.2,05-Apr,41.4,0.98,4723.09,3535.32
479.0,20-Mar,106.0,1.53,6545.46,5370.04
693.8,10-Mar,49.9,1.88,6058.24,4534.2
791.4,10-Mar,83.2,1.1,6940.44,5766.14
785.6,10-Mar,87.5,1.67,7148.44,6137.12
724.5,05-Apr,29.6,0.92,4643.98,3847.43
646.0,20-Mar,155.1,0.87,7577.19,5919.27
328.0,10-Mar,124.0,1.54,2549.77,2400.76
372.1,20-Apr,150.3,1.56,3475.2,2646.83
792.2,10-Mar,143.2,1.69,7590.7,6154.56
625.7,10-Mar,95.7,1.82,6759.88,5681.37
285.2,05-Apr,147.5,2.17,1692.12,1612.81
337.8,05-Apr,14.2,1.52,1393.01,1109.82
658.2,20-Mar,31.4,1.25,5599.86,4687.4
282.9,20-Apr,7.2,1.91,1009.89,726.11
371.7,05-Apr,52.1,1.18,2510.73,1811.26
592.8,10-Mar,62.2,1.41,6294.74,5056.1
674.4,20-Mar,43.4,0.91,5969.97,5126.89
651.6,10-Mar,132.6,0.84,7497.64,6365.02
407.8,10-Mar,57.1,2.15,4458.83,3778.35
685.9,05-Apr,44.9,1.97,5275.57,4564.36
415.2,20-Mar,86.8,1.77,4284.43,3709.82
465.5,20-Apr,22.5,1.37,3936.33,3588.37
705.5,20-Apr,128.4,1.04,6604.0,5028.94
650.3,05-Apr,11.9,1.02,3892.38,3374.16
764.1,05-Apr,157.9,1.15,6342.55,5075.72
654.8,20-Mar,123.6,1.57,7229.19,5698.65
603.9,20-Apr,31.8,1.8,4788.26,4228.42
333.4,20-Apr,0.9,1.72,1036.48,1042.54
489.6,20-Apr,130.5,1.19,5736.74,5201.43
431.2,10-Mar,113.1,2.14,6023.79,5290.36
419.1,20-Apr,116.6,1.83,5470.69,3971.24
834.6,10-Mar,123.4,1.58,7615.28,6562.34
504.1,20-Mar,11.8,1.66,3942.79,3411.58
788.5,10-Mar,57.4,1.39,6480.33,5221.87
639.7,20-Mar,18.5,1.15,4726.82,3988.3
733.0,20-Apr,138.1,1.3,6590.46,5319.57
566.5,20-Apr,99.7,1.86,5739.26,5262.05
608.8,20-Mar,52.9,0.82,6175.27,5274.03
560.7,05-Apr,10.2,0.96,3535.82,2854.32
391.3,20-Mar,49.8,0.86,3540.21,2854.5
691.8,05-Apr,52.0,0.86,5540.84,4241.57
440.0,10-Mar,116.7,2.0,5052.74,3638.99
293.9,10-Mar,102.0,1.79,2031.39,1787.94
647.9,10-Mar,142.0,1.46,7526.4,6765.68
381.0,20-Apr,75.6,0.94,3198.0,2504.04
816.1,10-Mar,19.1,1.49,5055.93,4030.56
823.7,05-Apr,114.1,1.46,6494.37,5738.77
801.5,10-Mar,121.7,1.04,7454.3,5555.33
491.0,20-Mar,89.8,1.41,6050.37,4838.97
288.8,20-Mar,123.4,1.36,1913.53,1523.76
809.1,20-Apr,79.0,1.66,5823.85,4521.74
524.1,20-Mar,83.6,1.69,6446.95,5454.66
831.0,05-Apr,68.4,0.86,5871.36,4303.12
829.3,10-Mar,4.1,1.32,4122.4,2829.39
766.2,20-Apr,17.3,1.68,4194.78,3231.11
